Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,503.6,482.7,986.2
5-9,532.3,508.1,1040.4
10-14,529.2,504,1033.2
15-19,512,481,993
20-24,517.4,489.2,1006.6
25-29,532.9,508.2,1041.1
30-34,526.1,505.8,1031.9
35-39,515.1,499.7,1014.9
40-44,480,469.4,949.3
45-49,437.7,432,869.6
50-54,375.5,370.2,745.7
55-59,304.9,298.8,603.7
60-64,233.9,229.3,463.1
65-69,161.1,156.8,317.9
70-74,97.5,98.3,195.8
75+,61.8,77.1,138.9
Jumlah/Total,6320.9,6110.5,12431.4
