Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,616975,594271,1211246
5-9,635123,611184,1246307
10-14,576863,546387,1123250
15-19,538560,512037,1050597
20-24,558774,531822,1090596
25-29,567780,552343,1120123
30-34,566963,555982,1122945
35-39,545921,544999,1090920
40-44,502249,491729,993978
45-49,440727,414957,855684
50-54,357154,328770,685924
55-59,266173,246656,512829
60-64,185368,170318,355686
65-69,113540,106216,219756
70-74,61676,67789,129465
75+,50049,67961,118010
Banten,6583895,6343421,12927316
