Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,511518,489283,1000801
5-9,534556,510723,1045279
10-14,525883,498863,1024746
15-19,512430,481126,993556
20-24,523505,495614,1019119
25-29,534139,510080,1044219
30-34,527210,507518,1034728
35-39,510637,495797,1006434
40-44,474527,464557,939084
45-49,428662,422554,851216
50-54,364360,357568,721928
55-59,294602,287271,581873
60-64,222713,216194,438907
65-69,153514,147931,301445
70-74,86929,88285,175214
75+,57542,71641,129183
Jumlah/Total,6262727,6045005,12307732
