Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pandeglang,1272.7,0.99,10.69,463,105.5
Lebak,1386.8,1.38,11.65,405,106.1
Tangerang,3245.6,1.32,27.26,3208,104.8
Serang,1622.6,1.42,13.63,936,104.7
Kota Tangerang,1895.5,0.51,15.92,12314,102.4
Kota Cilegon,434.9,1.46,3.65,2478,103.2
Kota Serang,692.1,1.76,5.81,2595,104.7
Kota Tangerang Selatan,1354.4,0.47,11.38,9201,100.3
Banten,11904.6,1.1,100,1232,104
,,,,,
Catatan,,,,,
Hasil SP2020 (September)/<i>The result of the 2020 Population Census (September)</i>,,,,,
